"","FFMC","DMC","DC","ISI","temp","RH","wind","rain"
"467",87.2,15.1,36.9,7.1,10.2,45,5.8,0
"468",90.2,18.5,41.1,7.3,11.2,41,5.4,0
"469",91.3,20.6,43.5,8.5,13.3,27,3.6,0
"470",91,14.6,25.6,12.3,13.7,33,9.4,0
"471",91,14.6,25.6,12.3,17.6,27,5.8,0
"472",89.6,25.4,73.7,5.7,18,40,4,0
"473",88.2,96.2,229,4.7,14.3,79,4,0
"474",90.5,61.1,252.6,9.4,24.5,50,3.1,0
"475",93,103.8,316.7,10.8,26.4,35,2.7,0
"476",93.7,121.7,350.2,18,22.7,40,9.4,0
"477",93.5,85.3,395,9.9,27.2,28,1.3,0
"478",93.7,101.3,423.4,14.7,26.1,45,4,0
"479",93.7,101.3,423.4,14.7,18.2,82,4.5,0
"480",89.2,103.9,431.6,6.4,22.6,57,4.9,0
"481",93.2,114.4,560,9.5,30.2,25,4.5,0
"482",93.2,114.4,560,9.5,30.2,22,4.9,0
"483",94.9,130.3,587.1,14.1,23.4,40,5.8,0
"484",94.9,130.3,587.1,14.1,31,27,5.4,0
"485",94.9,130.3,587.1,14.1,33.1,25,4,0
"486",95,135.5,596.3,21.3,30.6,28,3.6,0
"487",95.1,141.3,605.8,17.7,24.1,43,6.3,0
"488",95.1,141.3,605.8,17.7,26.4,34,3.6,0
"489",95.1,141.3,605.8,17.7,19.4,71,7.6,0
"490",95.1,141.3,605.8,17.7,20.6,58,1.3,0
"491",95.1,141.3,605.8,17.7,28.7,33,4,0
"492",95.8,152,624.1,13.8,32.4,21,4.5,0
"493",95.9,158,633.6,11.3,32.4,27,2.2,0
"494",95.9,158,633.6,11.3,27.5,29,4.5,0
"495",96,164,643,14,30.8,30,4.9,0
"496",96.2,175.5,661.8,16.8,23.9,42,2.2,0
"497",96.2,175.5,661.8,16.8,32.6,26,3.1,0
"498",96.1,181.1,671.2,14.3,32.3,27,2.2,0
"499",96.1,181.1,671.2,14.3,33.3,26,2.7,0
"500",96.1,181.1,671.2,14.3,27.3,63,4.9,6.4
"501",96.1,181.1,671.2,14.3,21.6,65,4.9,0.8
"502",96.1,181.1,671.2,14.3,21.6,65,4.9,0.8
"503",96.1,181.1,671.2,14.3,20.7,69,4.9,0.4
"504",94.5,139.4,689.1,20,29.2,30,4.9,0
"505",94.5,139.4,689.1,20,28.9,29,4.9,0
"506",91,163.2,744.4,10.1,26.7,35,1.8,0
"507",91,166.9,752.6,7.1,18.5,73,8.5,0
"508",91,166.9,752.6,7.1,25.9,41,3.6,0
"509",91,166.9,752.6,7.1,25.9,41,3.6,0
"510",91,166.9,752.6,7.1,21.1,71,7.6,1.4
"511",91,166.9,752.6,7.1,18.2,62,5.4,0
"512",81.6,56.7,665.6,1.9,27.8,35,2.7,0
"513",81.6,56.7,665.6,1.9,27.8,32,2.7,0
"514",81.6,56.7,665.6,1.9,21.9,71,5.8,0
"515",81.6,56.7,665.6,1.9,21.2,70,6.7,0
"516",94.4,146,614.7,11.3,25.6,42,4,0
"517",79.5,3,106.7,1.1,11.8,31,4.5,0
